iter	RMSE
0	7.952314378
1	7.843310782
2	7.734991724
3	7.637667705
4	7.55021066
5	7.459996613
6	7.382922072
7	7.315362804
8	7.240804296
9	7.176025051
10	7.112719555
11	7.057311069
12	7.003040274
13	6.964088658
14	6.924489064
15	6.871822438
16	6.826055207
17	6.784458694
18	6.757580578
19	6.711256663
20	6.669519139
21	6.634860268
22	6.591943057
23	6.565440763
24	6.530920078
25	6.502201328
26	6.47245245
27	6.449205035
28	6.417813328
29	6.389300808
30	6.363950495
31	6.340473558
32	6.30253918
33	6.279051985
34	6.259567162
35	6.234290139
36	6.219622027
37	6.196642045
38	6.177108006
39	6.154657784
40	6.135680448
41	6.112378755
42	6.089925858
43	6.070080626
44	6.048787824
45	6.023521307
46	6.005929228
47	5.994674199
48	5.972738892
49	5.954059507
50	5.935212294
51	5.926181366
52	5.912584444
53	5.901380104
54	5.886203189
55	5.871986305
56	5.858084373
57	5.845879645
58	5.830933472
59	5.821650081
60	5.809194228
61	5.79404983
62	5.77639246
63	5.766889667
64	5.751739083
65	5.740470586
66	5.733702928
67	5.71821841
68	5.700007429
69	5.693924636
70	5.686374526
71	5.677071083
72	5.664380668
73	5.646479364
74	5.63189153
75	5.623851072
76	5.606116151
77	5.600242754
78	5.592640949
79	5.583265139
80	5.575820697
81	5.564817778
82	5.550937704
83	5.53563236
84	5.51965976
85	5.509719255
86	5.49908184
87	5.489706998
88	5.484128813
89	5.467165891
90	5.455667473
91	5.448150684
92	5.436539779
93	5.422671889
94	5.418787238
95	5.412521162
96	5.401148619
97	5.393358949
98	5.384405031
99	5.367000129
100	5.350318023
101	5.343687702
102	5.333688551
103	5.329980496
104	5.32164975
105	5.312330927
106	5.302945364
107	5.287786722
108	5.277780708
109	5.267667024
110	5.255624805
111	5.244205025
112	5.234665893
113	5.223845702
114	5.209331026
115	5.202560277
116	5.189807718
117	5.181539515
118	5.169344678
119	5.160941631
120	5.148347618
121	5.138739318
122	5.130259662
123	5.119876687
124	5.113854843
125	5.107206086
126	5.093137441
127	5.086441044
128	5.077868112
129	5.070109858
130	5.064267285
131	5.058210484
132	5.049270764
133	5.044384188
134	5.03894454
135	5.027378306
136	5.018642281
137	5.012937346
138	5.008246085
139	4.999478377
140	4.993424326
141	4.981488605
142	4.975193772
143	4.967246504
144	4.959808817
145	4.952568194
146	4.938683348
147	4.930775423
148	4.919969451
149	4.915397583
150	4.904092509
151	4.889757451
152	4.882852264
153	4.87973696
154	4.86611273
155	4.856246782
156	4.852255095
157	4.845773088
158	4.83972207
159	4.827561265
160	4.815814444
161	4.807463252
162	4.799341806
163	4.789671693
164	4.779630013
165	4.766230941
166	4.75943246
167	4.754812464
168	4.751013313
169	4.743250338
170	4.730945011
171	4.72072063
172	4.711957422
173	4.70637445
174	4.70015137
175	4.690187707
176	4.679057614
177	4.674354826
178	4.664765575
179	4.652150402
180	4.646678319
181	4.642673464
182	4.634115922
183	4.6294578
184	4.626639381
185	4.615289402
186	4.605812597
187	4.60146946
188	4.593858236
189	4.584928085
190	4.567713927
191	4.56169559
192	4.55536563
193	4.542016541
194	4.536790696
195	4.534408769
196	4.530427511
197	4.522701034
198	4.519163661
199	4.512589506
200	4.501850351
201	4.490913259
202	4.486848068
203	4.474856472
204	4.470795161
205	4.461619397
206	4.456950509
207	4.452216019
208	4.44570601
209	4.437932755
210	4.433447669
211	4.430125068
212	4.425975648
213	4.419989742
214	4.41269805
215	4.409772917
216	4.398795985
217	4.393705729
218	4.38887178
219	4.386329969
220	4.376770853
221	4.372597301
222	4.364052432
223	4.355910703
224	4.353510873
225	4.344705801
226	4.335585443
227	4.324773834
228	4.315952335
229	4.311862657
230	4.308402506
231	4.304996409
232	4.301702547
233	4.292819648
234	4.289679377
235	4.284797081
236	4.280746972
237	4.277989009
238	4.270887225
239	4.259643257
240	4.256571944
241	4.253449131
242	4.249071718
243	4.246037983
244	4.239124121
245	4.229772122
246	4.219924769
247	4.217239024
248	4.20906845
249	4.202649842
250	4.197014299
251	4.192907411
252	4.186721607
253	4.176710882
254	4.173744281
255	4.170604108
256	4.16226337
257	4.159191245
258	4.155878609
259	4.153008534
260	4.150233065
261	4.140675593
262	4.136940819
263	4.128049376
264	4.125571871
