iter	Passed	Remaining
0	9	9689
1	18	9147
2	26	8689
3	35	8902
4	49	9858
5	62	10295
6	71	10087
7	83	10340
8	95	10470
9	104	10297
10	116	10484
11	127	10512
12	135	10264
13	146	10301
14	157	10362
15	165	10185
16	176	10191
17	185	10096
18	196	10144
19	206	10135
20	214	10011
21	227	10106
22	234	9976
23	245	10001
24	256	10022
25	273	10250
26	283	10211
27	295	10258
28	310	10382
29	321	10388
30	330	10338
31	342	10357
32	353	10359
33	361	10266
34	370	10213
35	378	10124
36	386	10065
37	394	9975
38	403	9934
39	411	9867
40	419	9808
41	427	9759
42	439	9777
43	446	9707
44	455	9672
45	463	9610
46	472	9572
47	480	9522
48	487	9466
49	495	9423
50	504	9380
51	513	9354
52	520	9303
53	528	9266
54	536	9222
55	546	9214
56	556	9210
57	568	9227
58	578	9234
59	587	9204
60	598	9211
61	606	9179
62	615	9156
63	623	9120
64	632	9101
65	645	9136
66	654	9110
67	666	9132
68	677	9135
69	685	9112
70	697	9126
71	707	9116
72	715	9085
73	726	9090
74	734	9056
75	743	9034
76	751	9008
77	765	9047
78	776	9051
79	785	9029
80	796	9035
81	805	9020
82	813	8985
83	824	8993
84	834	8984
85	843	8962
86	853	8959
87	862	8942
88	871	8921
89	879	8888
90	888	8880
91	898	8863
92	906	8842
93	914	8812
94	923	8802
95	931	8773
96	940	8752
97	949	8738
98	958	8725
99	967	8711
100	977	8696
101	989	8710
102	998	8696
103	1005	8666
104	1015	8652
105	1022	8626
106	1033	8627
107	1041	8605
108	1052	8602
109	1062	8595
110	1073	8595
111	1083	8592
112	1092	8579
113	1101	8560
114	1112	8560
115	1120	8541
116	1130	8533
117	1140	8526
118	1148	8506
119	1157	8491
120	1165	8468
121	1176	8465
122	1184	8445
123	1195	8447
124	1203	8421
125	1212	8411
126	1220	8390
127	1228	8370
128	1238	8360
129	1246	8341
130	1256	8336
131	1265	8322
132	1280	8349
133	1290	8339
134	1298	8319
135	1308	8311
136	1316	8290
137	1324	8274
138	1338	8289
139	1349	8286
140	1358	8273
141	1368	8267
142	1377	8256
143	1387	8247
144	1397	8241
145	1408	8241
146	1418	8229
147	1425	8207
148	1435	8198
149	1443	8180
150	1452	8168
151	1460	8146
152	1469	8136
153	1486	8166
154	1502	8193
155	1519	8220
156	1529	8212
157	1537	8190
158	1546	8177
159	1563	8209
160	1597	8322
161	1611	8338
162	1623	8334
163	1647	8399
164	1688	8546
165	1716	8623
166	1761	8786
167	1785	8843
168	1803	8869
169	1825	8913
170	1843	8936
171	1865	8979
172	1880	8991
173	1898	9014
174	1912	9017
175	1929	9032
176	1947	9053
177	1963	9065
178	1977	9070
179	1994	9083
180	2008	9086
181	2021	9085
182	2035	9087
183	2050	9093
184	2064	9095
185	2097	9180
186	2113	9187
187	2124	9176
188	2137	9172
189	2151	9172
190	2189	9275
191	2235	9408
192	2257	9440
193	2281	9480
194	2295	9477
195	2309	9472
196	2322	9466
197	2334	9456
198	2358	9492
199	2374	9499
200	2393	9514
201	2407	9509
202	2427	9531
203	2458	9594
204	2514	9752
205	2547	9818
206	2562	9817
207	2585	9845
208	2605	9860
209	2619	9854
210	2633	9848
211	2646	9835
212	2656	9817
213	2673	9819
214	2688	9815
215	2704	9816
216	2719	9812
217	2735	9813
218	2748	9802
219	2763	9798
220	2779	9796
221	2790	9780
222	2801	9761
223	2812	9741
224	2820	9715
225	2831	9697
226	2841	9674
227	2849	9649
228	2860	9630
229	2868	9604
230	2878	9583
231	2885	9553
232	2895	9531
233	2903	9503
234	2912	9479
235	2919	9450
236	2928	9428
237	2936	9400
238	2944	9375
239	2952	9348
240	2961	9327
241	2969	9301
242	2977	9275
243	2985	9248
244	2994	9226
245	3001	9200
246	3009	9174
247	3020	9157
248	3030	9140
249	3041	9124
250	3049	9101
251	3061	9086
252	3071	9070
253	3079	9045
254	3090	9028
255	3098	9005
256	3107	8983
257	3117	8966
258	3128	8949
259	3143	8946
260	3156	8938
261	3166	8918
262	3183	8921
263	3195	8909
264	3204	8888
